Title,URL,Type,Relevance,Notes
"Protein requirements for resistance training: A meta-analysis","https://pubmed.ncbi.nlm.nih.gov/28698222/","Academic Paper","High - Direct evidence for protein targets","Morton et al. 2017 meta-analysis on protein needs"
"Position stand: Nutrition and athletic performance","https://journals.lww.com/acsm-msse/fulltext/2016/03000/nutrition_and_athletic_performance.25.aspx","Academic Paper","High - ACSM official position","American College of Sports Medicine guidelines"
"Basal metabolic rate: What it is and how to calculate it","https://www.healthline.com/health/what-is-basal-metabolic-rate","Academic Paper","Medium - BMR explanation","Clear explanation of BMR concepts"
"Progressive overload: The foundation of strength training","https://www.nsca.com/education/articles/kinetic-select/progressive-overload/","Academic Paper","High - Training principles","NSCA article on progression methods"
"NEAT: Non-exercise activity thermogenesis","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6058072/","Academic Paper","High - NEAT research","Levine 2015 review on daily activity"
"Micronutrients and athletic performance: A review","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4540168/","Academic Paper","High - Micronutrient research","Williams & Rollo 2015 review on vitamins/minerals for athletes"
"Resistance training volume and frequency","https://pubmed.ncbi.nlm.nih.gov/27174923/","Academic Paper","High - Training volume","Schoenfeld et al. 2016 on how much to train"
"Energy balance and body composition","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5095961/","Academic Paper","High - Energy balance","Hall 2016 on calories and body composition"
"Periodization for strength training","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4215195/","Academic Paper","Medium - Advanced training","Periodization concepts"
"Metabolic rate calculation accuracy: Harris-Benedict vs others","https://pubmed.ncbi.nlm.nih.gov/2305711/","Academic Paper","Medium - BMR accuracy","Validation of BMR formulas"
"Protein timing and muscle protein synthesis","https://pubmed.ncbi.nlm.nih.gov/22569072/","Academic Paper","High - Protein timing","Areta et al. 2013 on protein timing"
"Sleep and athletic performance","https://pubmed.ncbi.nlm.nih.gov/29135639/","Academic Paper","Medium - Recovery factors","Watson 2017 review on sleep and performance"
"Dietary Supplements—For Whom? The Current State of Knowledge about the Health Effects of Selected Supplement Use","https://pmc.ncbi.nlm.nih.gov/articles/PMC8431076/","Academic Paper","High - General supplement overview","Broad evidence review on common supplements and populations"
"Recent Clinical Trials Shed New Light on the Cardiovascular Benefits of Omega-3 Fatty Acids","https://pmc.ncbi.nlm.nih.gov/articles/PMC6822654/","Academic Paper","Medium - Omega-3 evidence","Cardiovascular outcomes and implications for general health"
"Efficacy and safety assessment of protein supplement - micronutrient fortification in promoting health and wellbeing in healthy adults: randomized placebo-controlled trial","https://pmc.ncbi.nlm.nih.gov/articles/PMC10079511/","Academic Paper","High - Protein supplementation","Healthy adults; protein + micronutrient fortification outcomes"
"Randomized controlled trial demonstrates response to a probiotic intervention for metabolic syndrome that may correspond to diet","https://pmc.ncbi.nlm.nih.gov/articles/PMC9980610/","Academic Paper","Medium - Probiotics and metabolism","Gut microbiome; metabolic markers; diet interaction"
"Jeff Cavaliere: Optimize Your Exercise Program with Science-Based Tools","https://open.spotify.com/episode/6L2aAJieLyZRNCvy7ieEfY","Podcast","High - Expert interview","Athlean-X founder on evidence-based training"
"What Is The Best Workout Split?","https://learn.athleanx.com/articles/the-best-way-to-split-up-your-workouts-surprise","Academic Paper","High - Training programming","Jeff Cavaliere on workout arrangement"
"Dr. Pradip Jamnadas: The Fastest Way to Burn Dangerous Visceral Fat","https://open.spotify.com/episode/7KLveNMlz9odKHZP71TPKm?si=e2e605a432f5424c&nd=1&dlsi=e78bb1fb85474f3b","Podcast","High - Cardiovascular health","Insulin resistance; heart disease; fasting; visceral fat — Guest: Dr. Pradip Jamnadas"

"Dr. Peter Attia: Longevity & Performance","https://open.spotify.com/episode/3LPgfDeLL01Vvo6djHIy80?si=c516167eb4a54a91","Podcast","High - Performance optimization","Training; nutrition; longevity protocols — Guest: Dr. Peter Attia"

"MyPlate Plan: Personalized daily calories by goal and activity","https://www.myplate.gov/myplate-plan","Government Resource","High - Practical calorie targets","USDA tool to estimate daily calories and food group targets"
"NIH ODS: Vitamins and Minerals Fact Sheets","https://ods.od.nih.gov/factsheets/list-all/","Government Resource","High - Micronutrient basics","Authoritative nutrient functions, RDAs/AIs, upper limits, and food sources"
"NHS Strength and Flex: 5-week beginner strength program","https://www.nhs.uk/live-well/exercise/strength-and-flex-exercise-plan/","Government Resource","High - Beginner program design","Structured plan with progression, videos, and safety guidance"
